VIN	V(vin)	V(vout)
Step Information: Wn=1µ Wp_ratio=1.5  (Step: 1/14)
9.500000000000001e-01	9.500000e-01	1.721855e-09
9.600000000000000e-01	9.600000e-01	1.691108e-09
9.700000000000000e-01	9.700000e-01	1.661439e-09
9.800000000000000e-01	9.800000e-01	1.632794e-09
9.900000000000000e-01	9.900000e-01	1.605119e-09
1.000000000000000e+00	1.000000e+00	1.578367e-09
1.010000000000000e+00	1.010000e+00	1.552492e-09
1.020000000000000e+00	1.020000e+00	1.527452e-09
1.030000000000000e+00	1.030000e+00	1.503207e-09
1.040000000000000e+00	1.040000e+00	1.479719e-09
1.050000000000000e+00	1.050000e+00	1.456954e-09
1.060000000000000e+00	1.060000e+00	1.434879e-09
1.070000000000000e+00	1.070000e+00	1.413463e-09
1.080000000000000e+00	1.080000e+00	1.392677e-09
1.090000000000000e+00	1.090000e+00	1.372493e-09
1.100000000000000e+00	1.100000e+00	1.352886e-09
1.110000000000000e+00	1.110000e+00	1.333832e-09
1.120000000000000e+00	1.120000e+00	1.315306e-09
1.130000000000000e+00	1.130000e+00	1.297288e-09
1.140000000000000e+00	1.140000e+00	1.279757e-09
1.150000000000000e+00	1.150000e+00	1.262694e-09
1.160000000000000e+00	1.160000e+00	1.246079e-09
1.170000000000000e+00	1.170000e+00	1.229897e-09
1.180000000000000e+00	1.180000e+00	1.214129e-09
1.190000000000000e+00	1.190000e+00	1.198760e-09
1.200000000000000e+00	1.200000e+00	1.183776e-09
Step Information: Wn=1µ Wp_ratio=2  (Step: 5/14)
0.000000000000000e+00	0.000000e+00	1.200000e+00
1.000000000000000e-02	1.000000e-02	1.200000e+00
2.000000000000000e-02	2.000000e-02	1.200000e+00
3.000000000000000e-02	3.000000e-02	1.200000e+00
4.000000000000000e-02	4.000000e-02	1.200000e+00
5.000000000000000e-02	5.000000e-02	1.200000e+00
6.000000000000000e-02	6.000000e-02	1.200000e+00
7.000000000000001e-02	7.000000e-02	1.200000e+00
